Nombre,Brand,Link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Cerveza Original 6.6° 330 cc,Innis & Gunn,https://www.jumbo.cl/cerv-innis-gunn-original-6-6g-330ml/p,,$1.799,,Código: 1739763,"Cerveza original envejecida en barrica de bourbon, lo que produce sabores toffe y vainilla. De color marrón brillante. Estilo Strong Ale.",https://jumbo.vtexassets.com/arquivos/ids/286634-750-750?width=750&height=750&aspect=true
Cerveza botella 330 cc,Grolsch,https://www.jumbo.cl/cerveza-grolsch-botella-330-cc/p,,$1.090,,Código: 1549037,"La Cerveza Grolsch fue hecha para disfrutarla en todo momento, para compartirla con amigos y familiares.",https://jumbo.vtexassets.com/arquivos/ids/175252-750-750?width=750&height=750&aspect=true
Cerveza Lager lata 355 cc,Miller,https://www.jumbo.cl/cerveza-miller-lata-355-cc-norteamericana/p,,$1.020,,Código: 976035,"Ya que la calidad no conoce fronteras, la Cerveza Miller Genuine Draft ha llegado lejos de su hogar en Milwaukee. Manteniendo la visión original de Frederick, aún usamos el mismo proceso innovador y los más finos ingredientes para hacer una cerveza de la más alta calidad, cuatro veces filtrada para una suavidad excepcional.",https://jumbo.vtexassets.com/arquivos/ids/351778-750-750?width=750&height=750&aspect=true
Cerveza importada Estrella botella 660 cc,Damm,https://www.jumbo.cl/cerveza-damm-4-6-botella-660-cc/p,,$1.950,,Código: 1757568,"Elaborada según la receta original de August K. Damm de 1876, con maltas de variedades puras, procedentes de nuestra propia maltería y con un mínimo de 3 semanas de fermentación y guarda. Ingredientes 100% naturales.",https://jumbo.vtexassets.com/arquivos/ids/436007-750-750?width=750&height=750&aspect=true
Cerveza 1925 700 ml,Alhambra,https://www.jumbo.cl/cerveza-1925-700-ml/p,,$3.590,,Código: 1843209,Una cerveza de color ámbar intenso aspecto brillante y espuma consistente. En nariz es compleja primero manifiesta una fragancia seca a la que siguen notas de lúpulo floral y fresco acompañadas de notas a plátano y manzana roja junto a aromas delicados a,https://jumbo.vtexassets.com/arquivos/ids/361660-750-750?width=750&height=750&aspect=true
Cerveza Rum Fin 6.8° 330 cc,Innis & Gunn,https://www.jumbo.cl/cerv-innis-gunn-rum-fin-6-8g-bot-330ml/p,,$1.799,,Código: 1739764,"Cerveza negra de estilo Strong Ale, color rubí. Un sabor frutal y toques de especias. Aroma chocolatado, de ron y vainilla.",https://jumbo.vtexassets.com/arquivos/ids/286635-750-750?width=750&height=750&aspect=true
Cerveza Lager lata 473 cc,Becker,https://www.jumbo.cl/cerveza-becker-4-5-lata-473-cc/p,,$710,,Código: 1703064,Cerveza Becker clásica en su lata roja con un contenido neto de 473 cc. Ideal para una tarde calurosa o pasar un buen rato con los amigos. Formato grande.,https://jumbo.vtexassets.com/arquivos/ids/434074-750-750?width=750&height=750&aspect=true
Cerveza amber ale botella 355 cc,Royal Guard,https://www.jumbo.cl/cerveza-royal-amber-ale-bot-355cc/p,,$1.100,,Código: 1852555,"Una cerveza de color ámbar, que destaca por su equilibro entre el toque dulce que le entregan sus maltas caramelo y el aroma cítrico y floral que le aporta sus lúpulos especiales.",https://jumbo.vtexassets.com/arquivos/ids/425501-750-750?width=750&height=750&aspect=true
Pack 6 un. Cerveza amber 4.5° botella 330 cc,Puerto Sur,https://www.jumbo.cl/cerv-d-puerto-amber-4-5-bot-330cc-x6-926044-pak/p,,$6.340,,Código: 926044-PAK,"Leyendas y tesoros nacen a partir del S.XVI cuando Valparaíso, patrimonio de la humanidad, fue escenario de saqueos por corsarios y piratas famosos de la época, como Sir Francis Drake.
Cerveza Amber Ale:
Presenta un atractivo tono ambarino entre sútiles aromas a fruta roja y damascos deshidratados. De sabor untuoso, estructura media con justo punto caramelizado y floral. Se comporta como una franca ambar.
Maridaje:
Quesos de pasta blanda como Brie y Camembert, pescados azules a la plancha, sopa de mariscos y charcutería.
Formato: Botela 330 cc",https://jumbo.vtexassets.com/arquivos/ids/371784-750-750?width=750&height=750&aspect=true
Pack 4 un. Cerveza Maestra 7.5° botella 330 cc,Mahou,https://www.jumbo.cl/pack-6-unid-cerveza-mahou-maestra-7-5-330-cc-c-u/p,,$5.190,,Código: 1726571-PAK,"Mahou Maestra es la cerveza de doble lúpulo. Con intensas notas tostadas, es una birra recomendada para valientes y amantes de los sabores extremadamente completos.",https://jumbo.vtexassets.com/arquivos/ids/459087-750-750?width=750&height=750&aspect=true
