Nombre,Brand,Title_link,price-verde,price-gris,price-rojo,SKU,Descripcion,Img
Takis Wapas queso loco 170 g,Takis,https://www.jumbo.cl/takis-wapas-queso-loco-170-gr-1903254/p,,$2.290,,Código: 1903254,Deliciosas papas fritas con sabor a queso picante. Tienen corte ondulado y un intenso sabor. Ideal para acompañar un picoteo.,https://jumbo.vtexassets.com/arquivos/ids/465353-750-750?width=750&height=750&aspect=true
Papas fritas rústicas sabor queso 185 g,Marco Polo,https://www.jumbo.cl/papas-fritas-marco-polo-rusticas-queso-200-g-2/p,,$1.979,,Código: 1647864,Papas fritas rústicas Marco Polo sabor a Queso y Orégano. Crujientes y sabrosas ideal para compartir en un picoteo o fiesta.,https://jumbo.vtexassets.com/arquivos/ids/396280-750-750?width=750&height=750&aspect=true
"Papas fritas Pringles Chesse, 158 g",Pringles,https://www.jumbo.cl/papas-fritas-pringles-chesse-158-g/p,,$2.190,,Código: 1768059,Satisface tus antojos de aperitivos con el sabor irresistible de las patatas fritas con sabor a queso; forma única y sazonadas de borde a borde para un bocado perfectamente saborizado cada vez.,https://jumbo.vtexassets.com/arquivos/ids/409832-750-750?width=750&height=750&aspect=true
"Papas fritas Pringles Pizza, 158 g",Pringles,https://www.jumbo.cl/papas-fritas-pringles-pizza-158-g/p,,$2.190,,Código: 1768057,Satisface tus antojos de aperitivos con el sabor irresistible de las patatas fritas con sabor a pizza; forma única y sazonadas de borde a borde para un bocado perfectamente saborizado cada vez.,https://jumbo.vtexassets.com/arquivos/ids/409825-750-750?width=750&height=750&aspect=true
Papotas sour cream 150 g,Pancho Villa,https://www.jumbo.cl/papotas-pancho-villa-sour-cream-150-g/p,,$1.999,,Código: 1822791,Papotas sour cream 150 g. Perfectas para degustar en toda ocasión. Ideal para compartir viendo una entretenida película.,https://jumbo.vtexassets.com/arquivos/ids/453020-750-750?width=750&height=750&aspect=true
Papotas sal de mar 150 g,Pancho Villa,https://www.jumbo.cl/papotas-pancho-villa-sal-de-mar-150-g/p,,$1.999,,Código: 1822790,Papotas sal de mar 150 g. Perfectas para degustar en toda ocasión. Ideal para compartir viendo una entretenida película.,https://jumbo.vtexassets.com/arquivos/ids/453019-750-750?width=750&height=750&aspect=true
Papas fritas lays limon 200 gr,Lays,https://www.jumbo.cl/papas-fritas-lays-limon-200-gr-1885607/p,,$1.789,,Código: 1885607,"En buenos momentos hay cosas que siempre están ahí, como las papas Lays. Papas cortadas en delicadas rodajas, crujientes y deliciosamente sazonadas. Disfruta del nuevo y natural sabor a limón incluido dentro de las papitas.",https://jumbo.vtexassets.com/arquivos/ids/437491-750-750?width=750&height=750&aspect=true
Papotas BBQ chipotle 150 g,Pancho Villa,https://www.jumbo.cl/papotas-pancho-villa-bbq-chipot-150-g/p,,$1.999,,Código: 1822792,Papotas BBQ chipotle 150 g. Perfectas para degustar en toda ocasión. Ideal para compartir viendo una entretenida película.,https://jumbo.vtexassets.com/arquivos/ids/453021-750-750?width=750&height=750&aspect=true
Chips Palafito 180 g,Tika,https://www.jumbo.cl/tika-palafito-180-gr-1903244/p,,$3.149,,Código: 1903244,"Snack artesanal de camotes y remolachas en palitos. Producto vegano, 100% natural y sin gluten. Contiene 180 g.",https://jumbo.vtexassets.com/arquivos/ids/465684-750-750?width=750&height=750&aspect=true
Papas fritas tipo americana 520 gr,Lays,https://www.jumbo.cl/lays-tipo-americana-520-gr-1856959/p,,,,Código: 1856959,"Papas fritas Lays tipo americana. Sabor clásico. Papas crujientes cultivadas en granja, cocinadas y sazonadas a la perfección.",https://jumbo.vtexassets.com/arquivos/ids/467003-750-750?width=750&height=750&aspect=true
